text,position,frequency,total,percentage
cn,2,1,5,0.2
ne,3,83,412,0.2
co,2,22,575,0.04
st,5,87,638,0.14
cq,2,5,5,1.0
qu,3,22,101,0.22
ui,4,17,84,0.2
ir,5,26,165,0.16
re,6,83,992,0.08
is,5,67,436,0.15
ti,8,120,988,0.12
io,9,90,602,0.15
on,10,91,1066,0.09
ns,11,22,456,0.05
cr,2,19,129,0.15
re,3,114,992,0.11
ob,4,3,58,0.05
ba,5,12,155,0.08
os,4,25,173,0.14
ry,3,9,151,0.06
yl,4,4,17,0.24
li,5,59,463,0.13
ic,6,58,454,0.13
ct,2,21,304,0.07
ti,3,101,988,0.1
in,4,155,1317,0.12
ng,5,84,697,0.12
io,4,43,602,0.07
on,5,101,1066,0.09
ns,6,42,456,0.09
iv,4,28,184,0.15
va,5,15,116,0.13
ve,5,23,415,0.06
el,6,21,367,0.06
ly,7,24,217,0.11
vi,5,16,202,0.08
is,6,30,436,0.07
st,7,28,638,0.04
it,6,66,446,0.15
ie,8,26,284,0.09
es,9,64,933,0.07
ty,7,17,133,0.13
to,3,31,302,0.1
rs,5,53,321,0.17
tr,3,52,353,0.15
es,5,172,933,0.18
ss,6,53,257,0.21
ts,3,26,272,0.1
tu,3,22,164,0.13
ua,4,21,101,0.21
al,5,59,646,0.09
ll,6,21,300,0.07
cu,2,4,114,0.04
ut,3,27,182,0.15
te,4,131,792,0.17
ad,1,78,236,0.33
da,2,13,146,0.09
am,3,45,211,0.21
ms,4,16,59,0.27
ap,3,29,168,0.17
pt,4,15,90,0.17
ta,5,42,380,0.11
te,5,90,792,0.11
er,6,124,1109,0.11
rs,7,51,321,0.16
iv,6,9,184,0.05
ve,7,16,415,0.04
to,5,40,302,0.13
or,6,47,599,0.08
dd,2,16,36,0.44
de,3,67,487,0.14
ed,4,54,685,0.08
di,3,70,357,0.2
ic,4,93,454,0.2
ct,5,62,304,0.2
io,7,82,602,0.14
on,8,88,1066,0.08
it,4,72,446,0.16
ll,10,8,300,0.03
ly,11,15,217,0.07
ns,8,33,456,0.07
dr,3,14,71,0.2
se,7,35,466,0.08
si,7,45,359,0.13
ds,3,13,115,0.11
de,2,16,487,0.03
el,3,24,367,0.07
la,4,40,372,0.11
ai,5,29,218,0.13
id,6,10,174,0.06
de,7,18,487,0.04
eq,3,6,36,0.17
qu,4,8,101,0.08
ua,5,22,101,0.22
di,2,12,357,0.03
da,4,20,146,0.14
as,5,25,305,0.08
ip,3,22,108,0.2
pe,4,50,305,0.16
ex,5,4,168,0.02
dj,2,6,7,0.86
ja,3,1,32,0.03
ac,4,20,322,0.06
ce,5,38,386,0.1
ju,3,8,37,0.22
tm,6,10,28,0.36
me,7,60,429,0.14
en,8,71,842,0.08
nt,9,67,657,0.1
ts,10,21,272,0.08
dm,2,11,15,0.73
mi,3,45,251,0.18
ni,5,51,270,0.19
er,9,20,1109,0.02
re,10,14,992,0.01
tr,8,5,353,0.01
ra,9,5,589,0.01
at,10,23,777,0.03
ti,11,19,988,0.02
io,12,16,602,0.03
on,13,16,1066,0.02
iv,12,3,184,0.02
ve,13,3,415,0.01
to,11,4,302,0.01
or,12,4,599,0.01
rs,13,1,321,0.0
is,4,83,436,0.19
ns,9,20,456,0.04
tt,5,2,121,0.02
do,2,6,111,0.05
ob,3,8,58,0.14
ol,3,36,281,0.13
le,4,103,569,0.18
sc,6,3,140,0.02
ce,7,37,386,0.1
op,3,42,145,0.29
dr,2,2,71,0.03
ri,3,95,558,0.17
ia,4,37,255,0.15
an,5,79,722,0.11
ds,2,5,115,0.04
sl,3,5,51,0.1
du,2,6,85,0.07
ul,3,17,141,0.12
lt,4,19,88,0.22
ts,5,37,272,0.14
dv,2,24,28,0.86
va,3,15,116,0.13
an,4,99,722,0.14
es,7,93,933,0.1
ag,7,8,144,0.06
ge,8,20,274,0.07
ve,3,116,415,0.28
tu,6,25,164,0.15
ur,7,22,315,0.07
re,8,35,992,0.04
er,4,290,1109,0.26
rt,5,54,226,0.24
is,7,39,436,0.09
se,8,15,466,0.03
em,9,2,223,0.01
me,10,4,429,0.01
en,11,5,842,0.01
nt,12,5,657,0.01
ts,13,1,272,0.0
rs,10,13,321,0.04
si,8,9,359,0.03
in,9,26,1317,0.02
ng,10,24,697,0.03
vi,3,61,202,0.3
so,5,16,184,0.09
ry,7,19,151,0.13
vo,3,20,58,0.34
oc,4,19,122,0.16
ca,5,40,361,0.11
dw,2,3,11,0.27
wa,3,14,129,0.11
ar,4,66,680,0.1
